trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.17284746746244747}",20,13,13.466463476081499,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.16593356876394957}",30,0,-0.22382642783315299,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.15929622601339158}",25,6,-46.76607841591538,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.1529243769728559}",20,2,-36.86584238618058,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
47,False,"{'a': 0.5, 'e': 0.14680740189394167}",30,16,7.632258892784841,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.140935105818184}",25,11,27.098452714048822,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.13529770158545662}",30,13,16.527987408524055,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.12988579352203836}",20,0,8.450655658714535,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.12469036178115682}",25,19,9.651950658077315,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.11970274730991054}",20,2,14.878737418461284,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.11491463741751412}",25,13,-10.752813854748155,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.11031805192081355}",25,9,26.661821223405504,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.105905329843981}",20,10,5.524063125672447,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.10166911665022176}",35,18,29.08920184722098,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.09760235198421288}",30,15,28.35716500962693,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.09369825790484436}",25,6,21.35485287576226,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.08995032758865058}",20,14,10.241486172067091,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.08635231448510455}",20,13,10.72692669008527,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.08289822190570037}",20,12,3.156803753704054,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.07958229302947235}",20,16,7.1957724146246544,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.07639900130829345}",30,19,21.661359344499505,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.07334304125596171}",20,8,21.58609899172628,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.07040931960572323}",25,8,30.596754830870307,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
